"T10 A sports Live", "https://webott.viatv.com.np/v0t1/ASportsHD.stream/playlist.m3u8", "EN"
"RTA Sports HD Ban Vs AFG", "https://rtatv.akamaized.net/Content/HLS/Live/channel(RTA3)/variant.m3u8", "EN"
"TnT Sports 2", "https://line.4k-beast.co/live/c0:23:8d:96:15:22/44D11F/103145.m3u8", "EN"
"Star Sports 1 HD", "http://41.205.93.154/STARSPORTS1/index.m3u8", "EN"
"PTV Sports", "http://125.209.88.166:45793/BRN/PTVSports.stream/playlist.m3u8", "EN"
"A Sports", "http://125.209.88.166:45793/BRN/ArySports.stream/playlist.m3u8", "EN"
"Geo Super", "http://125.209.88.166:45793/BRN/GeoSuper.stream/playlist.m3u8", "EN"
"Ten Sports PK", "http://125.209.88.166:45793/BRN/TenSports.stream/playlist.m3u8", "EN"
"Bein Sports 1", "http://125.209.88.166:45793/BRN/beINSP11.stream/playlist.m3u8", "EN"
"Bein Sports 2", "http://125.209.88.166:45793/BRN/beINSP12.stream/playlist.m3u8", "EN"
"MU TV", "https://bcovlive-a.akamaihd.net/r2d2c4ca5bf57456fb1d16255c1a535c8/eu-west-1/eu-west-1/6058004203001/profile_2/chunklist.m3u8", "EN"
"MU TV", "https://bcovlive-a.akamaihd.net/r6b4170ad9e8e4ed49986ecc03bac588b/eu-west-1/6058004203001/playlist.m3u8", "EN"
"TnT Sports 3", "https://line.4k-beast.co/live/c0:23:8d:96:15:22/44D11F/103148.m3u8", "EN"
"Fast-Studios-Womens-Sports", "https://csm-e-eb.csm.tubi.video/csm/extlive/tubiprd01,Fast-Studios-Womens-Sports.m3u8", "EN"
"GXR WORLD", "https://s@d2yxu0gr4ksneg.cloudfront.net/out/v1/ed259f6465634f6382767e23f564e695/index_7.m3u8", "EN"
"Redbull TV", "https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8", "EN"
"Live Sports Football Laliga", "https://drjpy7suzu4c5.cloudfront.net/out/v1/0c06db0274c04e64ab6ae0450f5fbda8/index.m3u8", "EN"
"TYC Sports Play", "https://d1xm2jznwi5xzj.cloudfront.net/out/v1/34e0da501a8c4489b713809eb08a9bf3/index_14.m3u8", "EN"
"BeiN Sports Extra", "https://bein-esp-xumo.amagi.tv/playlistR720P.m3u8", "EN"
"UFC", "http://78.159.122.138:2082/Jvyct679999967DDDF4477/Xpluxxx3333ggghy5t57/134", "EN"
"Band Sports 4K", "http://78.159.122.138:2082/Jvyct679999967DDDF4477/Xpluxxx3333ggghy5t57/23", "EN"
"ESPN HD", "http://78.159.122.138:2082/Jvyct679999967DDDF4477/Xpluxxx3333ggghy5t57/1", "EN"
